index_code,date,close,previous_close,category
H30269.CSI,20240911,9389.1495,9627.9284,down
H30269.CSI,20240912,9436.2061,9389.1495,up
H30269.CSI,20240913,9402.7579,9436.2061,flat
H30269.CSI,20240918,9533.3416,9402.7579,up
H30269.CSI,20240919,9543.2402,9533.3416,flat
H30269.CSI,20240920,9525.6111,9543.2402,flat
H30269.CSI,20240923,9640.1023,9525.6111,up
H30269.CSI,20240924,10065.913,9640.1023,up
H30269.CSI,20240925,10224.6086,10065.913,up
H30269.CSI,20240926,10532.421,10224.6086,up
H30269.CSI,20240927,10555.082,10532.421,flat
H30269.CSI,20240930,11170.9987,10555.082,up
H30269.CSI,20241008,11308.2865,11170.9987,up
H30269.CSI,20241009,10499.8165,11308.2865,down
H30269.CSI,20241010,10931.0261,10499.8165,up
H30269.CSI,20241011,10714.1822,10931.0261,down
H30269.CSI,20241014,11051.0705,10714.1822,up
H30269.CSI,20241015,10812.4046,11051.0705,down
H30269.CSI,20241016,10998.0215,10812.4046,up
H30269.CSI,20241017,10854.9156,10998.0215,down
H30269.CSI,20241018,10918.9084,10854.9156,up
H30269.CSI,20241021,10843.7076,10918.9084,down
H30269.CSI,20241022,10897.2043,10843.7076,flat
H30269.CSI,20241023,10881.2436,10897.2043,flat
H30269.CSI,20241024,10825.9172,10881.2436,down
H30269.CSI,20241025,10788.7813,10825.9172,flat
H30269.CSI,20241028,10826.772,10788.7813,flat
H30269.CSI,20241029,10673.0251,10826.772,down
H30269.CSI,20241030,10593.387,10673.0251,down
H30269.CSI,20241031,10575.9616,10593.387,flat
H30269.CSI,20241101,10674.3449,10575.9616,up
H30269.CSI,20241104,10777.9611,10674.3449,up
H30269.CSI,20241105,10909.2133,10777.9611,up
H30269.CSI,20241106,10876.7189,10909.2133,flat
H30269.CSI,20241107,11055.5977,10876.7189,up
H30269.CSI,20241108,10899.1163,11055.5977,down
H30269.CSI,20241111,10814.3822,10899.1163,down
H30269.CSI,20241112,10719.1552,10814.3822,down
H30269.CSI,20241113,10774.8727,10719.1552,up
H30269.CSI,20241114,10699.4585,10774.8727,down
H30269.CSI,20241115,10675.2986,10699.4585,flat
H30269.CSI,20241118,10849.5111,10675.2986,up
H30269.CSI,20241119,10875.0624,10849.5111,flat
H30269.CSI,20241120,10895.7256,10875.0624,flat
H30269.CSI,20241121,10867.6432,10895.7256,flat
H30269.CSI,20241122,10594.0029,10867.6432,down
H30269.CSI,20241125,10613.1263,10594.0029,flat
H30269.CSI,20241126,10641.6068,10613.1263,flat
H30269.CSI,20241127,10771.441,10641.6068,up
H30269.CSI,20241128,10732.8825,10771.441,flat
H30269.CSI,20241129,10762.8183,10732.8825,flat
H30269.CSI,20241202,10775.879,10762.8183,flat
H30269.CSI,20241203,10909.2108,10775.879,up
H30269.CSI,20241204,10937.8135,10909.2108,flat
H30269.CSI,20241205,10932.1559,10937.8135,flat
H30269.CSI,20241206,11066.5012,10932.1559,up
H30269.CSI,20241209,11104.619,11066.5012,flat
H30269.CSI,20241210,11109.6332,11104.619,flat
H30269.CSI,20241211,11113.4366,11109.6332,flat
H30269.CSI,20241212,11144.9246,11113.4366,flat
H30269.CSI,20241213,10939.0218,11144.9246,down
H30269.CSI,20241216,11108.819,10939.0218,up
H30269.CSI,20241217,11099.028,11108.819,flat
H30269.CSI,20241218,11184.3712,11099.028,up
H30269.CSI,20241219,11066.1367,11184.3712,down
H30269.CSI,20241220,10984.38,11066.1367,down
H30269.CSI,20241223,11018.5996,10984.38,flat
H30269.CSI,20241224,11135.6282,11018.5996,up
H30269.CSI,20241225,11209.5041,11135.6282,up
H30269.CSI,20241226,11162.1284,11209.5041,flat
H30269.CSI,20241227,11187.8297,11162.1284,flat
H30269.CSI,20241230,11278.0536,11187.8297,up
H30269.CSI,20241231,11190.8223,11278.0536,down
H30269.CSI,20250102,10947.0973,11190.8223,down
